,region,exposure_category,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn,vulnerability_categorymap,susceptibility_categorymap,exposure_categorymap,wri_categorymap
1231,Costa Rica,Very High,Very High,Low,Low,,43.49,,,,,2020.0,,2,2,2,4
1232,Bangladesch,Very High,Very High,High,High,,28.28,,,,,2020.0,,4,4,2,4
1233,Dschibuti,Very High,Very High,High,High,,26.79,,,,,2020.0,,4,4,2,4
1234,Fidschi,Very High,Very High,Medium,Medium,,34.63,,,,,2020.0,,3,3,2,4
1235,Kambodscha,Very High,Very High,High,High,,26.8,,,,,2020.0,,4,4,2,4
1236,El Salvador,Very High,Very High,High,Medium,,31.69,,,,,2020.0,,4,3,2,4
1237,Kiribati,Very High,Very High,High,High,,26.05,,,,,2020.0,,4,4,2,4
1246,Uruguay,Very High,Very High,Low,Low,,36.29,,,,,2020.0,,2,2,2,4
1248,Jamaika,Very High,Very High,Medium,Medium,,26.05,,,,,2020.0,,3,3,2,4
1249,Chile,Very High,Very High,Low,Low,,33.41,,,,,2020.0,,2,2,2,4
1265,Japan,Very High,High,Very Low,Low,,38.67,,,,,2020.0,,1,2,2,3
1284,Niederlande,Very High,High,Very Low,Very Low,,31.72,,,,,2020.0,,1,1,2,3
1401,Vanuatu,Very High,Very High,High,High,,63.66,,,,,2012.0,,4,4,2,4
1402,Tonga,Very High,Very High,Medium,Medium,,55.27,,,,,2012.0,,3,3,2,4
1403,Philippinen,Very High,Very High,Medium,High,,52.46,,,,,2012.0,,3,4,2,4
1404,Guatemala,Very High,Very High,High,High,,36.3,,,,,2012.0,,4,4,2,4
1405,Bangladesch,Very High,Very High,Very High,High,,31.7,,,,,2012.0,,5,4,2,4
1406,Salomonen,Very High,Very High,High,High,,29.98,,,,,2012.0,,4,4,2,4
1407,Costa Rica,Very High,Very High,Low,Low,,42.61,,,,,2012.0,,2,2,2,4
1408,Kambodscha,Very High,Very High,High,High,,27.65,,,,,2012.0,,4,4,2,4
